County,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Alameda County",1491482,1513043,1530998,1554138,1580247,1608674,1634634,1650306,1658131,1666753
"El Dorado County",178447,181133,180918,180578,181497,183161,184660,186082,188722,190678
"Kern County",807407,841072,848140,853963,862557,869957,877197,882361,888988,896764
"Los Angeles County",9848011,9822433,9876727,9938436,9998105,10048408,10097037,10120540,10118759,10105518
"Merced County",245321,256732,259333,260971,262198,264649,266651,267971,271340,274765
"Napa County",134650,136808,137750,138625,139706,140567,141096,141185,140386,139417
"Orange County",3026786,3016559,3050867,3080419,3108009,3130322,3153962,3170707,3179950,3185968
"Sacramento County",1400949,1421414,1433739,1445078,1457750,1475618,1494294,1511510,1527718,1540975
"San Diego County",3053793,3103306,3137372,3175201,3211248,3250993,3284061,3310280,3325468,3343364
"San Mateo County",718989,719725,728404,739427,749013,757670,765447,768204,768808,769545
"Santa Barbara County",407057,424235,425481,429825,434823,439358,442522,444675,445606,446527
"Sierra County",3191,3221,3099,3067,3029,2980,2996,2957,3009,2987
"Sonoma County",472102,484776,487423,490071,494243,498803,501346,503249,503246,499942
"Ventura County",802983,825130,830196,833801,838601,842946,846922,848921,850802,850967
"Yuba County",72925,72350,72492,72792,73114,73562,74083,75002,76775,78041